comedian,context
Anthony_Jeselnik,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
Anthony_Jeselnik_2,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
Anthony_Jeselnik_3,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.
Ali_Wong,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible"
Ali_Wong_2,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible"
Ali_Wong_3,"Ali Wong's stand up special delves into her sexual adventures, hoarding, the rocky road to pregnancy, and why feminism is terrible"
Hasan_Minhaj,"Comic Hasan Minhaj of ""The Daily Show"" shares personal stories about racism, immigrant parents, prom night horrors and more in this stand-up special"
Hasan_Minhaj_2,"Comic Hasan Minhaj of ""The Daily Show"" shares personal stories about racism, immigrant parents, prom night horrors and more in this stand-up special"
Hasan_Minhaj_3,"Comic Hasan Minhaj of ""The Daily Show"" shares personal stories about racism, immigrant parents, prom night horrors and more in this stand-up special"
Joe_List,"In his new special, Joe List unpacks his neuroses: He explains what triggers his Obsessive-Compulsive Disorder, why it's insane to think anyone can sleep on a plane and his theory that the dental industry is a sham."
Joe_List_2,"In his new special, Joe List unpacks his neuroses: He explains what triggers his Obsessive-Compulsive Disorder, why it's insane to think anyone can sleep on a plane and his theory that the dental industry is a sham."
Joe_List_3,"In his new special, Joe List unpacks his neuroses: He explains what triggers his Obsessive-Compulsive Disorder, why it's insane to think anyone can sleep on a plane and his theory that the dental industry is a sham."