comedian,sentence,gender
Anthony_Jeselnik,Sold my passport on the street for 300 bucks to get to my prom,none
Anthony_Jeselnik,"Weird joke to clap for, but sure.",none
Anthony_Jeselnik,My mom actually should’ve been on one of the planes that crashed on 9/11. I think.,none
Anthony_Jeselnik,And I do not tolerate racism. That’s ignorance and I hate that.,none
Anthony_Jeselnik,"Shut up, Mom, that’s racist. Put your money away.",none
Anthony_Jeselnik,"Most of them are in jail, to be honest.",none
Anthony_Jeselnik_2,"And I know my grandma loved it too, because it combined her two favorite things: spending time with her grandchildren, and using the ‘N’ word.",none
Anthony_Jeselnik_2,"Now I promise you… I promise you… until you’ve heard your grandfather gasp at his own wife’s funeral… …at a Methodist Church in Vicksburg, Mississippi… you are not a real comedian.",none
Anthony_Jeselnik_2,"I am a real comedian. I am a pure comedian. I think I’m one of the best comedians of all time.""",none
Ali_Wong,Don’t ever do that with your mom.,none
Ali_Wong,It was so emotional. We were screaming and fighting and yelling and it all came to a climax when she refused to let go of a Texas Instruments TI-82… manual.,none
Ali_Wong,She don’t even know… where the calculator is.,none
Ali_Wong,It was this calculator that bamboozled my generation. We were all required to buy it when we were in eight grade. It cost like $200. And everybody thought it could graph. It was like the Tesla of my time.,none
Ali_Wong_2,"My mom is 80, going through a full blown mid-life crisis. ‘Cause she knows that she’s got a century more to go.",none
Ali_Wong_2,I’m just kidding. She doesn’t have any black friends.,none
Ali_Wong_2,"Life is not Rush Hour, the movie, OK?",none
Ali_Wong_2,"Old Chinese ladies, they don’t give a fuck. They got no shame.""",none
Ali_Wong_2,They do that ’cause it’s a free activity. For them.,none
Chelsea_Peretti,"It’s like that wedding portraiture, where it’s just like, two assholes back to back in the woods, just like… [laughing shrilly] “To the future!",none
Chelsea_Peretti,"[giggles shrilly] “Uh-oh, it’s us again.” [trills]",none
Chelsea_Peretti,"She calls him by a word that I really feel is one of the more disgusting words in the English language. She calls him her “hubby,” which, to me is on par with the “N” word.",none
Chelsea_Peretti_2,People say I look just like you.,none
Chelsea_Peretti_2,"It’s actually to stop them from sweating, because why would you, you know, as a human?",none
Chelsea_Peretti_2,"It worked. I did stop sweating out of my armpits, but I started sweating out of my butthole",none
Chelsea_Peretti_2,"Is that a good trade? like, kind of a deal with the devil.",none
Chelsea_Peretti_2,"Oh, ho, ho, ho.""",none
Donald_Glover,"tears streaming down his face, but he wasn’t crying. He wasn’t crying. Just tears, he was giving me this mean mug""",none
Donald_Glover,The sweetest thing he was allowed was mints. He was just allowed to have mints.,none
Donald_Glover,"the vapors from his own mouth made his eyes water""",none
Donald_Glover,"And then like… Just, they would just bleed… It was crazy.",none
Donald_Glover_2,"Yeah, well, “if anybody ever tries to rape me, I’m just gonna shit on ’em.” “Yes, I will. I have no problem.”",none
Donald_Glover_2,"Number one, he’s a rapist. So his tolerance for gross stuff is probably pretty high. It’s probably pretty high.""",none
Donald_Glover_2,"You can shit on command? Like, you can just… You can just poop whenever you want to? Just be like… Hyah! He’s like, “Oh God, no!”",none
Hasan_Minhaj,"Are you fucking kidding? Thirteen episodes for this kid?""",none
Hasan_Minhaj,Do you know when br0wn kids get slapped? Every br0wn birthday party.,none
Hasan_Minhaj,"And usually it’s the kid whose birthday it is, and we stand there and point and laugh. We go, “Ah, Biju got slapped on his birthday!",none
Hasan_Minhaj,"It’s why we become cardiologists and win spelling bees.""",none
Hasan_Minhaj,"You ever seen an Indian kid win a spelling bee? Incredible! Ice water in the veins.""",none
Hasan_Minhaj_2,Getting into Stanford.,none
Hasan_Minhaj_2,"No, you have to live a life worth talking about, which is why I’m making it mandatory for everyone in this class to go to prom.",none
Hasan_Minhaj_2,"All 30 of us? We’re all going to prom? AP Calc? Us? Me, Jehovah’s Witness girl, Korean exchange students, going to the prom? Thirty for 30? All of us?",none
Hasan_Minhaj_2,"Hanson, this is not funny.",none
Hasan_Minhaj_2,"Whatever, it’s not going to happen.",none
Iliza_Shlesinger,"Granted, I’m not married yet, so, technically, I’ve only had beginnings of relationships.",none
Iliza_Shlesinger,"You want him to come in and be, like, “It’s so homey. I’d like to stay forever.” Yes, come closer.",none
Iliza_Shlesinger,"In your 30s… In your 30s, homeboy knocks on the door, you open it, you’re in combat boots, nothing else, and a garbage can on fire, you’re, like, “Welcome to Fuckdome, Scott.” Ticket',",none
Iliza_Shlesinger_2,"You don’t want to wear your daytime clothes, ’cause… ’cause it’s nighttime.",none
Iliza_Shlesinger_2,"You don’t want to go, like, super hardcore sexy the first time a guy’s coming over. Just relax.",none
Iliza_Shlesinger_2,You don’t want to wear nipple tassels.,none
Iliza_Shlesinger_2,"The blood’s gonna go from here to his dick, he’s gonna impale himself, he’s gonna sue you, and you ain’t got no money.",none
Jim_Gaffigan,We got nothing for you. And you can’t use our bathroom.,none
Jim_Gaffigan,Aw. Look at you try.,none
Jim_Gaffigan,"The fat pig is trying, the fat pig is trying, I…",none
Jim_Gaffigan,Good show.” “You nailed it.” I don’t care. I like to eat! I like to eat.,none
Jim_Gaffigan,"Well, you must know your way around the kitchen. I know where the food is.""",none
Jim_Gaffigan,"Well, you must love to cook. Look, I like to sleep. It doesn’t mean I wanna build a bed",none
Jim_Gaffigan_2,I have friends that are mentally ill.,none
Jim_Gaffigan_2,Didn\'t suspect a thing. Dog didn’t know it was his birthday. The dog didn’t know it had a birthday.,none
Jim_Gaffigan_2,"Oh, one year equals seven for doggies? Okay. When I see a dog, I’ll do math. That’s not fulfilling some dog need, you know?",none
Jim_Gaffigan_2,"There’s not a dog sitting in a bar right now going, “I’m not three, I’m 21! I can legally drink!”",none
Joe_List,It’s one doctor. He knows all three body parts.,none
Joe_List,"“Ear, nose, throat. “Who do ya need?”",none
Joe_List,And they all kinda.,none
Joe_List,"I thought it was called tinnitus, but then I watched a YouTube video, and the doctor in the video, he kept saying “tin-uh-dus.”",none
Joe_List,This guy’s a fake ass fucking retard doctor. It’s pronounced t-ah-n-i-tus.”,none
Joe_List_2,"You feel better than everybody behind you, don’t you?",none
Joe_List_2,"What a fucking idiot back there. Embarrassing, loser.",none
Joe_List_2,"The whole flight he’s like. [yawns] For like five hours. [yawns] I wanted him to die, I swear to God.",none
Joe_List_2,"First of all, you don’t need to make a noise when you yawn. That’s a decision, he’s deciding to do that.",none
Joe_List_2,You’re gonna die!,none
John_Mulaney,"We made these big piles of clothes, we put the piles into these big boxes, then we put the boxes into the back of my car, and then they stayed there for four months.",none
John_Mulaney,"And then one day my wife said, “Hey, you took that stuff to Goodwill, right?” And I said, “Of course I did! On an unrelated note, I’m going to walk out the front door right now.”",none
John_Mulaney,"It was charitable, but it was also fast and violent, because I was throwing boxes at people.",none
John_Mulaney_2,Go ahead and laugh. His name is ridiculous. That was his name. It was JJ Bittenbinder.,none
John_Mulaney_2,"Very sorry, Radio City, did that make you uncomfortable? Well, guess what? You’re adults and he’s not even here. So try being seven years old and you’re sitting five feet away from him.",none
John_Mulaney_2,"He’s still got blood on his shoes. And he’s looking at you in the eye to tell you for the first time in your very young life that some adults find you incredibly attractive. [audience laughing',",none
Jimmy_Yang,"Asian people, we don’t need Tinder anymore. We just go to BTS concerts. That’s how we do that parking lot pimping.",none
Jimmy_Yang,"""I’ve been dating a lot of tall girls lately, because it makes me look successful.",none
Jimmy_Yang,"But some of them like to wear heels. That’s just disrespect. Like, you’re already five inches taller than me. Why the fuck are you wearing heels? She’s like, it makes my ass look better. I’m like, your ass is at my',",none
Jimmy_Yang_2,"Like, it’s really hard for me to watch TV with my dad, because he’s trying to make me explain everything to him.",none
Jimmy_Yang_2,"First of all, old Asian people, they don’t watch TV. They judge the TV.",none
Jimmy_Yang_2,"He’s just sitting there, arms folded, judging the TV like–",none
Jimmy_Yang_2,"He’s made some random noises around the house. Now whenever he sneezes, it’s never just a sneeze. It’s like a whole tsunami of sound waves that',",none
Louis_CK,He was?,none
Louis_CK,Yeah. Jesus was Jewish.,none
Louis_CK,I don’t think so.,none
Louis_CK,"Dude, Jesus couldn’t be Jewish. Think about it.",none
Louis_CK,"You fucking think about it, you idiot. What d– What was he then? You’re… What, was he Presbyterian? What was he? Catholic?",none
Louis_CK,"Okay, Jesus was Catholic and he had a gold chain with a cross. And when they nailed him up, he was like, “Oh, that’s why we have those!",none
Louis_CK_2,They’re in our lives and they know nothing about what’s happening.,none
Louis_CK_2,"You ever been having, like, a dramatic moment in your family, like, you’re in the living room telling the kids that grandma died, and everybody’s crying, and the dog’s sitting there like…“I know you! Ha!” They’re so stupid!",none
Louis_CK_2,"Incredibly stupid animals. They don’t even know their own lives, they don’t even — they can’t even handle their own lives mentally.",none
Nate_Bargatze,"I’ve never thought about an author a day in my life, so… That never occurred to me.",none
Nate_Bargatze,"I love when kids cry, it’s just innocent. I love how innocent it is. They cry over a tag in their shirt. I mean, they bawl. They don’t like… It feels weird.",none
Nate_Bargatze,"You could be like, “Is your house on fire?” I’ve never seen someone cry this much. It’s over nothing.",none
Nate_Bargatze_2,"They throw some stuff in, you’re like, “Oh, all right. All right.” It’s, uh… “Okay, learning it earlier than we used to, huh?” I don’t even know if that’s true, but…",none
Nate_Bargatze_2,"Common Core math. That’s fun. It’s a new math they invented, no heads up. Just give it to parents that never learned it.""",none
Nate_Bargatze_TK,"Uh… It goes clown, then magic. There’s two steps. You can take them in either order.",none
Nate_Bargatze_TK,I thought everybody’s dad was a clown.,none
Nate_Bargatze_TK,The Easter Bunny was in the passenger seat.,none
Nate_Bargatze_TK,"The Easter Bunny head didn’t fit in the car. Like, he couldn’t sit normal, so his head was bent to the side.",none
Nate_Bargatze_TK,"And I remember he had his seat belt on, and he’s just like…",none
Nate_Bargatze_TK,"I like to think about all the other people that saw that.',",none
Nate_Bargatze_TK_2,"Tuesday’s getting married, rehearsal’s Friday, wedding’s Saturday.",none
Nate_Bargatze_TK_2,We gotta be there Monday for this wedding? How long is this wedding? It’s a week?,none
Nate_Bargatze_TK_2,I’m wildly overdressed. I look like I work there.,none
Nate_Bargatze_TK_2,Everybody else just has a football or basketball jersey on.,none
Nate_Bargatze_TK_2,"He has his tuxedo jacket, pants, cummerbund, bowtie. No shirt.",none
Russell_Peters,What do you mean what else is wrong with me?,none
Russell_Peters,"that’s really fucking racist, but since you asked, I have acid reflux.",none
Russell_Peters,"You know exactly who has it. You got it, don’t you, yellow guy?",none
Russell_Peters,Because there is no way you can be Indian and not have fucking acid reflux.,none
Russell_Peters,"It’s inevitable. There’s no way you can consume the food that we eat with that much spice, and that much oil, and that much butter, and not just have it burn a hole in your– as my dad would say– your esophagus.",none
Russell_Peters_2,"If I have twin girls– because you’ve got to have fun with the names. If I have twin girls, these are going to be my daughters, it’s going to be Kate and Duplicate. These are my boys, it’s Pete and Repeat.",none
Russell_Peters_2,Identical twins are the only people that should be twins.,none
Russell_Peters_2,I started getting scared when I thought my girlfriend was going to have twins.,none
Sam_Morril,"That is male privilege right there, isn’t it? I just told a room full of people I got roofied. I did not see one concerned face in here. Everyone in here is like I assume things worked out for you, and they did. Still weird, though.",none
Sam_Morril,"And I was like, I’ll drink it. And he gave me this hateful look, and I thought, why is this guy so mad at me? And then I chugged it, and I woke up the next morning, and I was like oh. That guy’s'",none
Sam_Morril_2,"It’s weird that they can do anti-smoking ads, but you can’t do pro-cigarette commercials. Isn’t that weird? They don’t give ’em a rebuttal.",none
Sam_Morril_2,"A hot girl walks up to a guy in the bar and asks to bum a cigarette, and he goes, oh, I don’t smoke. So then she goes outside and bums them from another guy, and they go home together and they fuck and that’s the whole commercial. There at the end, it just says, “Wouldn’t kill you',",none
Trevor_Noah,You know how I know this? You know how I’ve learned? Because I’ve learned how to use the Russian accent for myself.,none
Trevor_Noah,"I’ll share this with you, I don’t mind. I, uh– I’m not particularly comfortable in the house at night by myself. What I’m trying to say is I’m afraid of the dark.",none
Trevor_Noah,"But what happens is, I’ll be sleeping. And in the middle of the night, I’ll be woken up by the need to pee. And whenever that',",none
Trevor_Noah_2,"And a Kit Kat, please.",none
Trevor_Noah_2,Who the hell is this?,none
Trevor_Noah_2,I’m not telling you.,none
Trevor_Noah_2,"Ah, knock, knock.",none
Trevor_Noah_2,"Let him in. Let him in!""",none
Trevor_Noah_2,"""No. No, no. You must say, ‘Who’s there?\'",none
Trevor_Noah_2,"He is so right. We’ve always got to ask, ‘Who’s there?’ Who’s here? Who are we?’ Oh, my God",none
Tom_Segura,"The most terrifying housing situation that exists. Where other trailer people are like, “Get the fuck out of here.” Kick ’em out.",none
Tom_Segura,You don’t fuckin’ have it? Isn’t that your sole responsibility?,none
Tom_Segura,"Let’s go get it.” He goes, “I’ll go get it. You stay here and watch my place.” And I was like… “Okay.",none
Tom_Segura,"That’s what’s up.” -Like, yeah, man. Pow.*",none
Tom_Segura_2,"I got such a warm rush through my body. It felt like the inside of my body hugged the outside of my body, you know?",none
Tom_Segura_2,"I think it’s a taste of power. Like most of us, we have no power in our everyday lives",none
Tom_Segura_2,"You are lord of the elevator shaft. You get to decide, like a king with his drawbridge.",none
Tom_Segura_2,"And you can watch people walk up and be like, “Mm-mm.” -And you hit that.",none
Anthony_Jeselnik_3,"Just to teach me an important lesson about brand loyalty.""",none
Anthony_Jeselnik_3,I learned a lot from my parents. Especially my dad.,none
Anthony_Jeselnik_3,Beat the hell out of me.,none
Anthony_Jeselnik_3,Let her take the hit.,none
Anthony_Jeselnik_3,You don’t take classes. You don’t read the instructions. You just do it and figure it out.,none
Anthony_Jeselnik_3,"No, my dad would pick me up and throw me in the water to teach himself CPR.",none
Ali_Wong_3,You go to any hipster neighborhood in a major city in America and that shit is turning into a Yoko Ono factory.,none
Ali_Wong_3,It’s… too much. I don’t know what’s wrong with these bitches.,none
Ali_Wong_3,"You feel very… You feel very picturesque when you’re with a white dude, you know. You feel like you’re in a Wes Anderson movie or something.",none
Ali_Wong_3,"And you know, white dudes, they teach you about a lot of cool stuff like voting and recycling, and disturbing documentaries.",none
Chelsea_Peretti_3,My dick hurts.,none
Chelsea_Peretti_3,But this could sustain my spirit for two weeks!,none
Chelsea_Peretti_3,"What’s up, Jew-fro?! You Jew-ass bitch! Jew, Jew, Jew, bitch, Jew, bitch, Jew.",none
Chelsea_Peretti_3,"Oh, I’m not gonna do science anymore. It’s too hurtful.",none
Donald_Glover_3,"Oh man, I wish I could say that stuff. It sounds so cool when you say it in rap songs. Like, I want to say that, it sounds cool.",none
Donald_Glover_3,"it doesn’t really, like, do anything… it’s not that great, you know?",none
Donald_Glover_3,"I’m sorry, but are there any terms or phrases in your act “that don’t exist in sign language that I have to make up on the spot?",none
Donald_Glover_3,Yeah. Niglet?,none
Donald_Glover_3,Oh.,none
Hasan_Minhaj_3,You’re going to die. Laugh. Why aren’t you laughing? You’re always stressed and always tired.,none
Hasan_Minhaj_3,"You could wake up any immigrant father from a 12-hour nap, and they’d say… [angry yawn] “Why do I have to pay taxes?”",none
Hasan_Minhaj_3,"Ah, yogurt.” Or milk. Just like, “Ah.” And I’d look at him and be like, “Oh, man. Dad hates yogurt. He hates milk.”",none
Iliza_Shlesinger_3,"We’re judging your hair, your shoes, we scan you, like Predator",none
Iliza_Shlesinger_3,"Scanning for physical abnormalities. Is he balding Is that a goatee Is his shirt unbuttoned too low for his ethnicity? Is he wearing embroidered jeans? If so, is he a European male or just someone from Arizona?",none
Iliza_Shlesinger_3,We aren’t looking to see if you’re the hottest guy ever. Nay. We are merely assessing if you’re 50% attractive enough that we want to put the effort into putting ourselves in your orbit.,none
John_Mulaney_3,"No, I wish!",none
John_Mulaney_3,Jesus Christ!,none
John_Mulaney_3,Do you want a Best Buy Rewards card?,none
John_Mulaney_3,No.,none
John_Mulaney_3,You’ll see! One day I’m going to leave you and I’m going to get that Best Buy Rewards card.,none
John_Mulaney_3,"Jesus Christ, you’re never going to get that Best Buy Rewards card!",none
Jim_Gaffigan_3,You’re so much taller in person. Can we do a selfie?,none
Jim_Gaffigan_3,That guy looks like Phillip Seymour Hoffman.,none
Jim_Gaffigan_3,"Do you have anything stronger? Like a bear gun? \'Cause I don\'t think this bear\'s approaching to get his hair done.""",none
Joe_List_3,"I didn’t go to college or anything, but I know how to do therapy. I’ve been going long enough.",none
Joe_List_3,"Whatever you’re dealing with, it’s because of your family. Look no further, than your own family.",none
Joe_List_3,He nailed it. These are the worst people I’ve ever met in my life. I don’t know how I didn’t see this earlier.,none
Joe_List_3,"My biggest fear, is that when I go to the bathroom, they’ll be a man, hiding behind the shower curtain waiting'",none
Jimmy_Yang_3,"What do you want, a fortune cookie?",none
Jimmy_Yang_3,"Like, wha–? Like, what do you want? She acted like she just unlocked a new character on Street Fighter or some shit.",none
Jimmy_Yang_3,"bitch, you understand you just insulted my entire race of people?",none
Jimmy_Yang_3,"You’re the real MVP. You get two fortune cookies tonight, miss. Thank you.",none
Jimmy_Yang_3,Everybody should have average dick until proven guilty.,none
Jimmy_Yang_3,"Everybody should start at average dick, 8 inches. And we go from there.",none
Louis_CK_3,"No, she’s very expensive. Please don’t touch her.""",none
Louis_CK_3,"I rescued a dog last year, and it bit everyone in my life, so I un-rescued it, and I bought a dog that works.",none
Louis_CK_3,"I hate New York, I really do — I used to love New York, but I hate it now, I really — I’d rather be in Auschwitz than in New York City. Honestly, I would.",none
Louis_CK_3,"I mean Auschwitz now. I mean, today Auschwitz. Not back when it was open.",none
Nate_Bargatze_3,Looks like it’s home and away That’s how many jerseys are in there.,none
Nate_Bargatze_3,"Guys are drinking beers in the church. Like, that’s something I’ve never heard, a pastor be like, “Guys, can we not drink alcohol in the church?” They’re like, “Oh, I didn’t know this was the nice part of town. All right.”",none
Nate_Bargatze_3,The horse was the oldest horse I’ve ever seen. I thought it was a donkey. I thought they got a deal on a donkey,none
Nate_Bargatze_TK_3,"I didn’t know that there was a rule in play. I thought you felt it out, you know, and just go, “That feels right,” and that’s what you do.",none
Nate_Bargatze_TK_3,"I’ve never known where a comma’s supposed to go. If I feel a comma’s coming, I try to get out of that sentence so bad.",none
Nate_Bargatze_TK_3,"I remember nothing from school. People talk about history to me, I’m like, “I don’t know when you guys learned that. I think we skipped all of this'",none
Russell_Peters_3,And candy fell out of her.,none
Russell_Peters_3,He’s going to be able to engineer the wall. And hop it.,none
Russell_Peters_3,He’s going to steal your laptop and fix it. It’s going to be an amazing thing to see.,none
Russell_Peters_3,"Man, you did all this shit young. That’s crazy. I mean, that’s great. I did it way too late.",none
Russell_Peters_3,"When my son starts walking, we’re going to be walking the same way.",none
Sam_Morill_3,everything turns into slavery or the Holocaust in every conversation,none
Sam_Morill_3,we don’t know how hilarious Hitler would have been on social media. That’s not fair.,none
Sam_Morill_3,"Hitler might have had a strong Twitter presence. Trapped in bunker, sad. Adolf’s trending.",none
Sam_Morill_3,"Just said fun facts about Hitler, which I think is a great title. I’ve always said there aren’t enough upbeat pieces on the Fuhrer.",none
Sam_Morill_3,"Fun fact about Hitler, didn’t pay income tax, was very bad at managing his money,",none
Trevor_Noah_3,"It’s less of a command and more of a suggestion. It’s not “Stop!” It’s “Stop?” It’s almost like an African traveled the world, saw that other people have traffic lights and then just brought them back, but didn’t know what they were for.",none
Trevor_Noah_3,"Guys, guys, guys. We need to get traffic lights. Ah?",none
Trevor_Noah_3,"It’s for the intersection. It adds atmosphere.""",none
Trevor_Noah_3,"We don’t care about the lights, and we don’t trust the lights.",none
Tom_Segura_3,Segura. Segura! Sounds Japanese.,none
Tom_Segura_3,That’s ’cause you’re saying it Japanese.,none
Tom_Segura_3,"I could be Smith, and if you want to go [in gruff voice] ‘Smith…’ -then it’s Japanese.",none
Tom_Segura_3,"Well, what are you?",none
Tom_Segura_3,It’s never important to ask that question.,none
